scene,screen_pct,cvar_name,cvar_value,frames_analysed,csv_file,avg_FrameTime,p95_FrameTime,max_FrameTime,std_FrameTime,var_FrameTime,avg_GameThreadTime,p95_GameThreadTime,max_GameThreadTime,std_GameThreadTime,var_GameThreadTime,avg_RenderThreadTime,p95_RenderThreadTime,max_RenderThreadTime,std_RenderThreadTime,var_RenderThreadTime,avg_GPUTime,p95_GPUTime,max_GPUTime,std_GPUTime,var_GPUTime,avg_RHIThreadTime,p95_RHIThreadTime,max_RHIThreadTime,std_RHIThreadTime,var_RHIThreadTime,avg_GPUMem/LocalUsedMB,p95_GPUMem/LocalUsedMB,max_GPUMem/LocalUsedMB,std_GPUMem/LocalUsedMB,var_GPUMem/LocalUsedMB,avg_GPU/TAA,p95_GPU/TAA,max_GPU/TAA,std_GPU/TAA,var_GPU/TAA
resto-close,100,r.TemporalAASamples,64,750,Profile(20260408_014455).csv,4.9175,5.4821,8.6779,0.4533,0.2055,1.1983,1.4364,1.714,0.106,0.0112,4.9117,5.4599,8.9758,0.4617,0.2132,4.2578,4.5382,6.7333,0.2667,0.0711,2.0519,2.4362,3.9845,0.2502,0.0626,2451.9015,2465.6562,2465.6562,179.6617,32278.3408,0.0703,0.0717,0.4318,0.024,0.0006
resto-close,100,r.TemporalAAFilterSize,0.1,750,Profile(20260408_014508).csv,4.9352,5.6346,8.7344,0.5023,0.2523,1.2052,1.4509,1.8212,0.1074,0.0115,4.9287,5.6121,8.7322,0.4982,0.2482,4.259,4.5272,6.5675,0.2697,0.0727,1.9107,2.2172,4.5092,0.2409,0.058,2461.617,2464.9062,2464.9062,90.0056,8100.9995,0.0705,0.0707,0.4301,0.0294,0.0009
resto-close,100,r.TemporalAAFilterSize,0.25,750,Profile(20260408_014521).csv,4.9114,5.5488,8.7978,0.4819,0.2322,1.215,1.4904,1.9074,0.1254,0.0157,4.9049,5.503,8.7865,0.4871,0.2373,4.2511,4.5484,6.4241,0.2662,0.0709,1.9891,2.3479,4.2957,0.2399,0.0576,2451.9695,2465.1562,2465.1562,179.6658,32279.8028,0.0718,0.0716,0.4639,0.0359,0.0013
resto-close,100,r.TemporalAAFilterSize,0.5,750,Profile(20260408_014534).csv,4.9138,5.5731,8.716,0.4902,0.2403,1.2113,1.4925,1.7827,0.1234,0.0152,4.9073,5.5301,8.7065,0.4918,0.2418,4.2549,4.5388,6.6894,0.2662,0.0709,1.9871,2.3252,4.1586,0.2329,0.0543,2457.8308,2464.6562,2464.6562,127.177,16173.9828,0.0719,0.0717,0.4312,0.0341,0.0012
resto-close,100,r.TemporalAAFilterSize,0.7,750,Profile(20260408_014547).csv,4.8832,5.5088,8.5752,0.4552,0.2072,1.1799,1.4136,1.7994,0.1133,0.0128,4.8766,5.4672,8.6896,0.4556,0.2076,4.2521,4.5341,6.463,0.2634,0.0694,1.9809,2.3585,4.7889,0.2476,0.0613,2464.3302,2467.6562,2467.7812,90.1048,8118.8776,0.0701,0.0715,0.4353,0.0265,0.0007
resto-close,100,r.TemporalAAFilterSize,0.9,750,Profile(20260408_014600).csv,4.9204,5.6959,8.5788,0.5164,0.2667,1.2088,1.4656,1.7931,0.1153,0.0133,4.9135,5.6898,8.5701,0.5195,0.2699,4.2438,4.5309,6.5926,0.2676,0.0716,1.9274,2.229,4.2858,0.2111,0.0446,2457.8301,2464.4062,2464.4062,127.1762,16173.7818,0.0727,0.0717,0.5734,0.0387,0.0015
resto-close,100,r.TemporalAAFilterSize,0.95,750,Profile(20260408_014612).csv,4.922,5.5868,8.8592,0.4925,0.2425,1.1946,1.4341,1.9261,0.1057,0.0112,4.9156,5.5704,8.9513,0.5008,0.2508,4.2545,4.5335,6.6068,0.2614,0.0683,2.0174,2.3724,4.6515,0.2558,0.0654,2454.273,2472.9062,2472.9062,179.8888,32359.9929,0.0708,0.0717,0.429,0.0288,0.0008
resto-close,100,r.TemporalAAFilterSize,1.0,750,Profile(20260408_014625).csv,4.9068,5.5288,8.4806,0.4641,0.2154,1.2009,1.4427,1.6968,0.1054,0.0111,4.9001,5.521,8.4726,0.4701,0.221,4.246,4.5385,6.4818,0.2666,0.0711,2.0058,2.3483,4.1063,0.2335,0.0545,2457.2081,2467.4062,2467.4062,155.8239,24281.0924,0.0711,0.0716,0.4527,0.0324,0.0011
resto-close,100,r.TemporalAA.HistoryScreenPercentage,100,750,Profile(20260408_014638).csv,4.917,5.5644,8.5654,0.4848,0.235,1.1965,1.4456,1.897,0.1099,0.0121,4.9103,5.5472,8.8119,0.49,0.2401,4.2561,4.541,6.6655,0.2687,0.0722,1.9971,2.3537,4.0793,0.2337,0.0546,2461.6272,2465.1562,2465.1562,90.0072,8101.3042,0.0696,0.0715,0.4289,0.0228,0.0005
resto-close,100,r.TemporalAA.HistoryScreenPercentage,125,750,Profile(20260408_014651).csv,4.9777,5.6302,8.7035,0.4733,0.224,1.2031,1.4376,1.9204,0.1046,0.0109,4.9713,5.6205,8.7462,0.4694,0.2204,4.3366,4.6088,6.6673,0.267,0.0713,2.0158,2.3918,4.1473,0.2313,0.0535,2496.4087,2500.4062,2500.4062,91.2789,8331.8396,0.0991,0.0983,0.4597,0.0341,0.0012
resto-close,100,r.TemporalAA.HistoryScreenPercentage,150,750,Profile(20260408_014704).csv,4.9863,5.5298,8.8565,0.4577,0.2094,1.1929,1.436,1.6919,0.1014,0.0103,4.9796,5.5198,9.0612,0.4664,0.2175,4.3709,4.6396,6.7481,0.2685,0.0721,2.0398,2.3457,4.204,0.2333,0.0544,2514.9731,2521.9062,2521.9062,130.1336,16934.7535,0.1248,0.128,0.4943,0.0371,0.0014
resto-close,100,r.TemporalAA.HistoryScreenPercentage,200,750,Profile(20260408_014717).csv,5.0695,5.6123,8.6946,0.4489,0.2015,1.1828,1.4032,1.6981,0.0967,0.0094,5.0631,5.5608,8.9869,0.4508,0.2032,4.4872,4.7818,6.8059,0.2679,0.0718,2.0041,2.3343,4.4432,0.2497,0.0624,2561.9252,2576.5312,2576.5312,187.7232,35240.0041,0.2112,0.214,0.682,0.0557,0.0031
resto-close,87,r.TemporalAACurrentFrameWeight,0.01,750,Profile(20260408_014730).csv,4.6255,5.5241,8.1937,0.5835,0.3405,1.2019,1.4632,1.8834,0.1211,0.0147,4.6186,5.5269,8.3661,0.5852,0.3425,3.7491,4.0389,5.9529,0.2575,0.0663,1.9914,2.3836,3.4262,0.2181,0.0476,2403.8713,2414.4688,2414.4688,152.4412,23238.3135,0.0662,0.069,0.0973,0.0028,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.02,750,Profile(20260408_014743).csv,4.634,5.4781,8.1784,0.5773,0.3333,1.2008,1.4983,1.7467,0.1231,0.0151,4.6276,5.4785,8.175,0.5785,0.3347,3.7668,4.0539,5.905,0.2542,0.0646,2.0071,2.3819,3.8593,0.2248,0.0505,2399.1247,2415.7188,2415.7188,196.6758,38681.3686,0.0662,0.0686,0.088,0.0021,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.04,750,Profile(20260408_014756).csv,4.6209,5.4281,8.1129,0.5554,0.3084,1.2048,1.51,1.9335,0.1323,0.0175,4.6142,5.4158,8.0965,0.5563,0.3095,3.7624,4.0492,5.9734,0.262,0.0687,2.0242,2.4014,3.7821,0.2331,0.0543,2407.5264,2413.9688,2413.9688,124.5733,15518.5082,0.0662,0.0686,0.0911,0.0023,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.06,750,Profile(20260408_014809).csv,4.6263,5.5096,7.9655,0.5503,0.3028,1.2057,1.4606,1.9633,0.1211,0.0147,4.6198,5.5009,7.9538,0.5497,0.3021,3.7763,4.0582,5.9832,0.2598,0.0675,2.0024,2.3675,3.9607,0.2181,0.0476,2411.9093,2415.2188,2415.2188,88.1882,7777.1506,0.0663,0.0686,0.0953,0.0024,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.1,750,Profile(20260408_014822).csv,4.6302,5.49,8.1174,0.5902,0.3483,1.2166,1.5084,1.9825,0.1354,0.0183,4.6236,5.4717,8.1179,0.5923,0.3508,3.7775,4.06,6.0897,0.259,0.0671,2.0003,2.3734,3.8434,0.2228,0.0497,2404.9624,2415.2188,2415.2188,152.5109,23259.5891,0.0668,0.0697,0.1024,0.0028,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.2,750,Profile(20260408_014834).csv,4.6388,5.5812,7.9967,0.5827,0.3395,1.1635,1.2496,1.5386,0.0545,0.003,4.6323,5.5746,8.3336,0.5886,0.3465,3.748,4.0471,5.9552,0.2618,0.0685,2.0213,2.3706,3.9716,0.2363,0.0558,2405.4136,2420.7188,2420.7188,152.5637,23275.6853,0.0661,0.0686,0.0951,0.0026,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.5,750,Profile(20260408_014847).csv,4.5836,5.442,8.498,0.6021,0.3625,1.144,1.2823,1.6578,0.0749,0.0056,4.5772,5.4463,8.6181,0.6026,0.3631,3.7403,4.037,6.0404,0.2515,0.0632,1.8846,2.2152,3.8437,0.2055,0.0422,2411.7435,2414.9688,2414.9688,88.182,7776.0653,0.0665,0.0695,0.0962,0.0024,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.6,750,Profile(20260408_014900).csv,4.6374,5.5281,8.3214,0.5753,0.331,1.1996,1.4711,1.8058,0.1183,0.014,4.6312,5.521,8.3126,0.575,0.3306,3.7563,4.0432,6.0121,0.2581,0.0666,1.9889,2.3653,4.0749,0.2314,0.0536,2410.4665,2413.7188,2413.7188,88.1353,7767.8352,0.0661,0.0686,0.1023,0.0024,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.7,750,Profile(20260408_014913).csv,4.6375,5.5233,8.158,0.5739,0.3294,1.2019,1.4639,1.7365,0.1128,0.0127,4.631,5.5113,8.3634,0.5732,0.3285,3.7558,4.0442,5.9395,0.2595,0.0673,2.0217,2.4,4.0399,0.2387,0.057,2405.8928,2415.5938,2415.5938,152.569,23277.3059,0.0663,0.0687,0.0963,0.0025,0.0
resto-close,87,r.TemporalAACurrentFrameWeight,0.8,750,Profile(20260408_014926).csv,4.6231,5.5464,8.0851,0.5797,0.336,1.1977,1.4581,1.769,0.1122,0.0126,4.6168,5.5348,8.0826,0.5785,0.3346,3.7626,4.0466,5.983,0.2651,0.0703,1.9968,2.3883,4.0092,0.23,0.0529,2404.0609,2414.4688,2414.4688,152.4536,23242.1024,0.0661,0.0686,0.0962,0.0024,0.0
