scene,screen_pct,cvar_name,cvar_value,frames_analysed,csv_file,avg_FrameTime,p95_FrameTime,max_FrameTime,std_FrameTime,var_FrameTime,avg_GameThreadTime,p95_GameThreadTime,max_GameThreadTime,std_GameThreadTime,var_GameThreadTime,avg_RenderThreadTime,p95_RenderThreadTime,max_RenderThreadTime,std_RenderThreadTime,var_RenderThreadTime,avg_GPUTime,p95_GPUTime,max_GPUTime,std_GPUTime,var_GPUTime,avg_RHIThreadTime,p95_RHIThreadTime,max_RHIThreadTime,std_RHIThreadTime,var_RHIThreadTime,avg_GPUMem/LocalUsedMB,p95_GPUMem/LocalUsedMB,max_GPUMem/LocalUsedMB,std_GPUMem/LocalUsedMB,var_GPUMem/LocalUsedMB,avg_GPU/TAA,p95_GPU/TAA,max_GPU/TAA,std_GPU/TAA,var_GPU/TAA
abandoned-flipped,50,r.TemporalAAFilterSize,0.7,1350,Profile(20260402_231857).csv,3.5149,4.1725,6.0395,0.3914,0.1532,1.0976,1.4041,1.9581,0.1422,0.0202,3.5085,4.1612,6.0521,0.3876,0.1502,2.4634,2.7923,2.8994,0.1359,0.0185,1.9161,2.2434,2.8248,0.1788,0.032,2759.7763,2761.6836,2770.1211,75.1849,5652.7648,0.0155,0.0174,0.0348,0.0031,0.0
abandoned-flipped,50,r.TemporalAAFilterSize,0.9,1350,Profile(20260402_231912).csv,3.5176,4.2193,5.9909,0.3911,0.1529,1.0986,1.414,2.4307,0.1448,0.021,3.5112,4.2101,5.9825,0.3882,0.1507,2.4651,2.7958,3.0474,0.1409,0.0198,1.9263,2.2634,3.0411,0.1883,0.0354,2758.6829,2760.6836,2769.1211,75.1547,5648.2354,0.0159,0.021,0.3717,0.0103,0.0001
abandoned-flipped,50,r.TemporalAAFilterSize,0.95,1350,Profile(20260402_231927).csv,3.5021,4.1496,5.6287,0.391,0.1529,1.0904,1.3962,2.7963,0.1486,0.0221,3.4957,4.1307,5.6364,0.3876,0.1502,2.4625,2.7946,2.9983,0.1383,0.0191,1.9146,2.2292,2.7634,0.1777,0.0316,2756.5911,2760.4336,2768.8711,106.2315,11285.1222,0.0168,0.0174,0.4434,0.0215,0.0005
abandoned-flipped,50,r.TemporalAAFilterSize,1.0,1350,Profile(20260402_231942).csv,3.5068,4.1634,5.3861,0.3612,0.1305,1.0921,1.4083,1.9763,0.1381,0.0191,3.5004,4.1452,5.6702,0.3586,0.1286,2.4699,2.7965,2.9441,0.1366,0.0187,1.9337,2.2614,2.7222,0.1807,0.0327,2755.4074,2759.1836,2767.6211,106.1856,11275.3795,0.016,0.0277,0.0379,0.0038,0.0
abandoned-flipped,50,r.TemporalAA.HistoryScreenPercentage,100,1350,Profile(20260402_231956).csv,3.5209,4.2151,5.67,0.4009,0.1607,1.1004,1.4165,1.8657,0.1442,0.0208,3.5144,4.2075,5.6948,0.3938,0.1551,2.473,2.7983,2.9038,0.1411,0.0199,1.9391,2.2707,2.7594,0.185,0.0342,2756.9238,2760.6836,2769.1211,106.2447,11287.9372,0.016,0.023,0.3747,0.0142,0.0002
abandoned-flipped,50,r.TemporalAA.HistoryScreenPercentage,125,1350,Profile(20260402_232011).csv,3.5158,4.168,6.0362,0.385,0.1482,1.0852,1.3938,2.9239,0.1475,0.0217,3.5095,4.1472,6.1215,0.3858,0.1489,2.4721,2.8011,2.9816,0.1402,0.0196,1.9357,2.2396,4.5955,0.1986,0.0394,2754.5889,2758.4336,2766.8711,106.1541,11268.7013,0.0162,0.0272,0.4485,0.0157,0.0002
abandoned-flipped,50,r.TemporalAA.HistoryScreenPercentage,150,1350,Profile(20260402_232026).csv,3.4824,4.0776,5.2471,0.3628,0.1316,1.0932,1.3932,1.9461,0.1467,0.0215,3.4759,4.0675,5.2742,0.3579,0.1281,2.4682,2.7969,2.9367,0.1383,0.0191,1.9065,2.2308,2.8683,0.1812,0.0328,2762.8927,2762.6836,2771.1211,1.606,2.5791,0.0156,0.0261,0.3738,0.0104,0.0001
abandoned-flipped,50,r.TemporalAA.HistoryScreenPercentage,200,1350,Profile(20260402_232041).csv,3.5108,4.1523,5.4522,0.3787,0.1434,1.093,1.4268,2.1616,0.1477,0.0218,3.5044,4.1567,5.4692,0.3749,0.1405,2.4693,2.7925,3.013,0.1415,0.02,1.9373,2.2764,3.0098,0.1936,0.0375,2757.6775,2759.4336,2767.8711,75.1277,5644.1711,0.0156,0.0225,0.0379,0.0036,0.0
abandoned-demo,100,r.TemporalAACurrentFrameWeight,0.01,1350,Profile(20260402_232541).csv,4.0194,4.8279,6.9455,0.4781,0.2286,1.1288,1.4431,2.3861,0.1312,0.0172,4.0135,4.8077,8.2209,0.4945,0.2446,3.4347,3.7376,4.2813,0.1968,0.0387,1.8379,2.1667,5.6435,0.2135,0.0456,2851.7528,2875.8711,2884.3086,258.5756,66861.334,0.0178,0.0215,0.3768,0.0144,0.0002
abandoned-demo,100,r.TemporalAACurrentFrameWeight,0.02,1350,Profile(20260402_232557).csv,3.9803,4.6694,6.1211,0.4132,0.1707,1.121,1.4245,1.8092,0.1219,0.0149,3.9751,4.6673,6.371,0.4256,0.1811,3.432,3.7271,4.2537,0.1979,0.0392,1.9012,2.2658,2.7271,0.1981,0.0392,2857.3648,2874.1211,2882.5586,220.7024,48709.5616,0.0186,0.0205,0.3851,0.0225,0.0005
